A,B,C,D,E
5.1,31.2,2.12,13.7,4.24
9.2,23.8,3.0,19.2,4.64
1.4,30.1,1.06,14.3,3.72
7.1,39.1,1.02,10.4,1.34
6.0,0.9,1.22,15.1,1.86
2.0,36.8,1.68,13.9,3.96
8.2,23.2,2.38,11.0,2.1
8.6,19.4,2.42,17.7,4.5
7.4,39.4,1.4,10.1,2.98
7.4,1.1,2.2,13.4,1.0
8.7,39.3,1.68,14.4,4.08
9.9,17.6,1.94,14.8,1.88
2.3,17.6,1.28,13.4,2.24
0.2,21.6,2.4,19.1,2.14
2.1,1.0,1.28,17.1,4.34
5.2,11.7,1.1,13.1,2.24
0.1,16.3,2.6,16.7,1.74
8.7,3.8,2.34,17.0,1.56
2.9,5.2,1.42,13.8,1.78
3.7,21.7,1.62,14.7,3.92
0.1,20.5,1.42,19.0,2.74
6.3,31.1,1.52,13.6,2.1
5.9,35.9,1.28,15.9,1.86
2.0,38.4,1.86,18.0,4.84
3.2,5.5,2.7,17.3,2.98
7.5,11.7,2.82,10.3,3.8
5.7,38.7,1.16,12.2,4.14
2.1,25.2,1.66,11.3,1.96
8.8,28.5,2.98,10.4,3.28
4.8,26.7,2.44,16.5,2.48
9.0,29.0,1.28,12.3,4.8
5.8,33.2,2.22,11.7,4.96
4.1,17.9,1.88,12.6,4.24
9.1,35.7,2.66,12.3,3.76
5.9,23.4,2.42,12.8,1.96
7.9,34.2,2.14,11.0,3.12
1.4,19.5,2.82,11.7,3.2
6.1,30.7,1.36,10.3,3.28
6.1,7.9,1.3,13.2,4.34
4.6,13.4,2.48,17.7,1.4
6.1,2.1,1.14,14.1,1.92
5.0,33.0,1.64,13.1,1.04
5.4,22.4,2.46,15.0,4.14
6.3,5.7,1.34,10.3,3.52
0.2,9.2,1.68,11.9,2.32
10.0,19.1,1.84,18.4,2.22
5.0,10.2,1.98,16.6,4.28
0.6,39.5,1.04,18.8,3.98
2.0,0.6,2.8,16.7,1.6
7.2,12.7,2.16,16.1,1.9
3.8,5.4,1.54,15.7,1.88
1.7,23.0,1.9,14.6,1.26
0.3,36.1,2.26,17.4,3.4
8.8,6.1,2.38,17.9,3.78
5.9,23.9,1.92,15.8,3.36
1.3,8.9,1.26,19.9,4.8
0.8,23.1,1.12,10.5,2.52
8.9,23.2,2.46,19.4,2.74
5.2,35.3,2.56,13.9,4.3
0.1,33.2,1.6,17.6,3.32
8.3,37.4,2.84,12.2,4.48
9.1,29.1,2.6,15.1,3.46
5.9,34.4,2.0,10.3,2.06
7.0,15.1,1.56,13.6,4.64
4.3,14.4,1.28,14.1,1.94
0.7,12.9,2.78,20.0,5.0
4.6,14.0,2.5,14.3,4.98
3.4,9.2,1.48,19.6,3.0
7.7,11.3,2.2,14.1,1.28
8.0,28.3,1.8,12.8,4.96
3.5,14.2,2.36,20.0,3.24
4.9,22.2,1.06,11.8,1.3
